ITEM NAME,ITEM DESCRIPTION,PRICE
Fresh Mangoes,Sweet and juicy,50
Rice Cooker,Cooks rice fast,800
Tuna Cans,High-quality,35
Flip-flops,Comfortable,150
Instant Noodles,Quick and tasty,12
Water Dispenser,Cold and hot,200
Detergent,Stain remover,60
Electric Fan,Stay cool,500
Adobo Sauce,Flavorful,45
Smartphone Case,Protective,200
Coconut Oil,Organic and pure,75
Toothbrush,Oral care,25
Flip-top Bins,Easy disposal,150
Coffee Maker,Brews in minutes,700
Hair Shampoo,Healthy hair,50
LED Bulbs,Energy-saving,80
Beach Towel,Colorful design,180
Soy Sauce,Essential condiment,40
Running Shoes,Lightweight,200
Umbrella,Rain protection,70
Nail Polish,Vibrant colors,30
Fresh Tilapia,Farm-fresh,120
Baby Diapers,Ultra-absorbent,150
Earrings,Stylish jewelry,250
Barbecue Grill,Outdoor cooking,600
Cleaning Wipes,Convenient,40
Sunscreen,UV protection,80
Lotion,Skin hydration,55
Rice Cooker,Cooks rice fast,800
Trash Bags,Reliable,25
